name,dayofweek,state_pob,capacity,price,facebook_likes,youtube_suscrs,youtube_views,instagram_folls,instagram_likes,spotify_folls,spotify_pop,twitter_folls,twitter_mencs_usa,twitter_mencs,facebook_crec,youtube_crec,instagram_crec,twitter_crec,tickets
10000 maniacs,2,18801310,896,32.5,22996,4421,1387393,1607,687,,,3217,4,6,0.06100,0.33500,0.93300,0.65300,100
10000 maniacs,3,18801310,464,57,22996,4421,1387393,1607,687,,,3217,4,6,0.06100,0.33500,0.93300,0.65300,70
5 seconds of summer,6,6547629,953,29.5,220997,5198269,145192066,7400000,36753,3268169,84,12503006,430,1000,-5.12100,0.27100,0.00000,0.06300,100
aaron lewis,2,6483802,1417,52.5,794140,249144,114306783,131300,30825,184851,57,88664,52,58,1.91600,1.44300,0.45800,0.08200,98
aaron watson,4,38332521,1000,10,458993,50134,11382676,225200,4891,99630,56,138916,133,196,0.18400,0.82700,0.48800,0.15500,67
aaron watson,5,38332521,10000,37.5,458993,50134,11382676,225200,4891,99630,56,138916,133,196,0.18400,0.82700,0.48800,0.15500,100
aaron watson,3,3831074,1270,28,458993,50134,11382676,225200,4891,99630,56,138916,133,196,0.18400,0.82700,0.48800,0.15500,55
aaron watson,5,38332521,600,12.5,458993,50134,11382676,225200,4891,99630,56,138916,133,196,0.18400,0.82700,0.48800,0.15500,100
aaron watson,4,4533372,1300,17.5,458993,50134,11382676,225200,4891,99630,56,138916,133,196,0.18400,0.82700,0.48800,0.15500,40
aaron watson,2,6724540,500,40,458993,50134,11382676,225200,4891,99630,56,138916,133,196,0.18400,0.82700,0.48800,0.15500,97
aberdeen green,4,6346105,110,11,3155,103,5097,1221,379,,,783,0,0,0.31700,0.66700,0.98300,0.25500,40
acid mothers temple,3,5303925,318,14.5,51476,335,3676,1541,803,12120,14,4139,6,7,0.13000,1.41500,4.54300,0.60400,48
ac slater,4,5029196,625,19,79841,789,121113,52400,5401,28424,48,43819,34,56,0.07800,9.15300,1.90800,0.29400,89
adam carolla,4,5686986,1042,44.5,216709,44033,1308275,93100,7321,1312,11,516358,58,68,0.03200,1.87700,0.85900,-0.02400,73
adult mom,4,19378102,500,13.5,12701,181,20476,4709,1344,24852,39,14679,103,178,0.29100,1.55800,0.95600,0.68100,60
ajr,4,5988927,750,9,150927,12972,3271655,165700,87000,417847,73,135772,415,605,0.25200,6.24500,2.17300,0.32900,100
ajr,5,6547629,2425,33.5,150927,12972,3271655,165700,87000,417847,73,135772,415,605,0.25200,6.24500,2.17300,0.32900,100
ajr,4,6483802,1900,17.5,150927,12972,3271655,165700,87000,417847,73,135772,415,605,0.25200,6.24500,2.17300,0.32900,100
ajr,5,5686986,585,10,150927,12972,3271655,165700,87000,417847,73,135772,415,605,0.25200,6.24500,2.17300,0.32900,100
ajr,6,5303925,1125,28.5,150927,12972,3271655,165700,87000,417847,73,135772,415,605,0.25200,6.24500,2.17300,0.32900,100
ajr,1,1826341,1400,10,150927,12972,3271655,165700,87000,417847,73,135772,415,605,0.25200,6.24500,2.17300,0.32900,100
ajr,2,5988927,1273,9,150927,12972,3271655,165700,87000,417847,73,135772,415,605,0.25200,6.24500,2.17300,0.32900,100
ajr,1,11536504,2200,19,150927,12972,3271655,165700,87000,417847,73,135772,415,605,0.25200,6.24500,2.17300,0.32900,100
alan doyle,4,12702379,314,39,47877,229,6042,19600,5273,6639,34,67278,7,14,0.21700,5.46200,1.53100,0.17700,100
alan doyle,6,601723,520,35,47877,229,6042,19600,5273,6639,34,67278,7,14,0.21700,5.46200,1.53100,0.17700,64
alan doyle,2,6547629,430,29,47877,229,6042,19600,5273,6639,34,67278,7,14,0.21700,5.46200,1.53100,0.17700,42
alan doyle,5,19378102,205,32.5,47877,229,6042,19600,5273,6639,34,67278,7,14,0.21700,5.46200,1.53100,0.17700,100
alan doyle,3,19378102,450,27.5,47877,229,6042,19600,5273,6639,34,67278,7,14,0.21700,5.46200,1.53100,0.17700,25
alan jackson,4,4779736,7003,56.5,894170,840841,7428932,296200,39684,779079,69,567797,278,416,-0.34200,0.07500,0.67500,0.05500,100
alan parsons live project,3,18801310,2340,52.25,275868,5064,207085,8219,3061,,,17375,0,0,0.00100,-3.73000,0.84000,0.16100,69
alan parsons live project,5,18801310,1846,80,275868,5064,207085,8219,3061,,,17375,0,0,0.00100,-3.73000,0.84000,0.16100,53
alan parsons live project,4,18801310,1817,62,275868,5064,207085,8219,3061,,,17375,0,0,0.00100,-3.73000,0.84000,0.16100,100
albert cummings,4,2700551,244,49,32035,771,29137,1354,472,16072,36,1180,6,6,-0.00900,0.98500,0.59100,0.42400,100
alice in chains,3,601723,5100,62.5,944521,442646,2027806,342100,41049,1522443,68,248132,352,495,-0.40500,5.58200,1.84200,0.19000,100
alice in chains,0,19378102,2735,62.25,944521,442646,2027806,342100,41049,1522443,68,248132,352,495,-0.40500,5.58200,1.84200,0.19000,95
alice in chains,5,6547629,2425,75,944521,442646,2027806,342100,41049,1522443,68,248132,352,495,-0.40500,5.58200,1.84200,0.19000,100
all time low,2,989415,1425,31.75,632872,367923,3097687,1200000,77500,1646817,69,1787278,1000,1000,-0.67000,1.49800,0.00000,-0.38800,72
altj,4,2700551,3364,39.25,652744,804540,294279460,286100,48241,161,0,516778,11,16,-0.05900,0.77800,0.87400,-0.34600,64
alvvays,5,3831074,1371,18.5,97855,43670,10232384,70300,34631,161441,58,29247,90,120,0.26800,1.79500,1.56500,0.72100,100
alvvays,2,38332521,1000,22.5,97855,43670,10232384,70300,34631,161441,58,29247,90,120,0.26800,1.79500,1.56500,0.72100,96
alvvays,1,38332521,425,19,97855,43670,10232384,70300,34631,161441,58,29247,90,120,0.26800,1.79500,1.56500,0.72100,100
alvvays,1,601723,1200,12.5,97855,43670,10232384,70300,34631,161441,58,29247,90,120,0.26800,1.79500,1.56500,0.72100,100
amanda palmer,2,6724540,820,29.25,415943,104808,6953754,160700,12209,75936,42,1074817,31,54,-0.04600,0.37700,0.31100,-0.22800,60
amanda palmer,3,3831074,600,26.5,415943,104808,6953754,160700,12209,75936,42,1074817,31,54,-0.04600,0.37700,0.31100,-0.22800,100
amanda palmer,5,3831074,1438,27.5,415943,104808,6953754,160700,12209,75936,42,1074817,31,54,-0.04600,0.37700,0.31100,-0.22800,100
